diversity_var,env_var,correlation,p_value,n,significant
richness,elevation,0.08059188870205644,0.020918820311765313,821,TRUE
richness,slope,0.001139040914693096,0.9740036695294851,821,FALSE
richness,aspect,-0.01834659377647689,0.59963186330966,821,FALSE
richness,temperature,-0.08079887019713357,0.020591206629237437,821,TRUE
richness,precipitation,-0.05699251340567422,0.10271098328051775,821,FALSE
richness,eto,-0.07990619969312479,0.022036744070567736,821,TRUE
richness,water_balance,-0.037933187468983116,0.27763915576949666,821,FALSE
shannon,elevation,0.03858576517362827,0.2694506786822329,821,FALSE
shannon,slope,-0.009013183241485475,0.7965092621826521,821,FALSE
shannon,aspect,0.0027328504489057843,0.9376805186937269,821,FALSE
shannon,temperature,-0.03773879309992313,0.2801107593834594,821,FALSE
shannon,precipitation,-0.03549532878551657,0.30971432348127187,821,FALSE
shannon,eto,-0.03304012347288177,0.34439467075303754,821,FALSE
shannon,water_balance,-0.019772897650764912,0.5715658676824893,821,FALSE
simpson,elevation,0.00892299732824096,0.7985013983993012,821,FALSE
simpson,slope,-0.008324986488075715,0.8117435495057679,821,FALSE
simpson,aspect,0.0214624414998306,0.5391497742220037,821,FALSE
simpson,temperature,-0.007591433303306567,0.8280604350960442,821,FALSE
simpson,precipitation,-0.019931737307735276,0.5684793073408416,821,FALSE
simpson,eto,-0.0013498797075555606,0.9691938967757585,821,FALSE
simpson,water_balance,-0.010236825507893201,0.7696157599075646,821,FALSE
evenness,elevation,-0.08021579737134901,0.05987762032544917,551,FALSE
evenness,slope,-0.048404531868485326,0.2566674437911047,551,FALSE
evenness,aspect,0.004351253293233988,0.9188303427545361,551,FALSE
evenness,temperature,0.07966598238655662,0.061656926448444664,551,FALSE
evenness,precipitation,0.08501975576892784,0.04606660058134745,551,TRUE
evenness,eto,0.07559136383838479,0.0762464156702341,551,FALSE
evenness,water_balance,0.07909616319175052,0.0635468024863729,551,FALSE
