Plots,Elevation_MASL,Latitude,Longitude,Slope..Degrees.,Temp,Ppt,Eto,WB,Aspect,Crown_cover....,Forest_Types,Scientific_me,Family,DBH_cm,Height_m,Stem_Type,Status
5,1321,27.082492,90.322164,7,18.46,2328.66,928.39,2515.92,180,35,Warm broad leaved forest (500-1500),Phoebe attenuata,Lauraceae,46.2,25.4,Clean,Live
5,1321,27.082492,90.322164,7,18.46,2328.66,928.39,2515.92,180,35,Warm broad leaved forest (500-1500),Senegalia catechu,Acardiaceae,32.8,13.9,Clean,Live
5,1321,27.082492,90.322164,7,18.46,2328.66,928.39,2515.92,180,35,Warm broad leaved forest (500-1500),Altingia excelsa,Hamamelidaceae,85.8,34.2,Clean,Live
6,1375,27.089892,90.318006,25,18.18,1953.34,923.2,2086.13,270,70,Warm broad leaved forest (500-1500),Ostodes paniculata,Euphorbiaceae,10.4,8.1,Clean,Live
6,1375,27.089892,90.318006,25,18.18,1953.34,923.2,2086.13,270,70,Warm broad leaved forest (500-1500),Altingia excelsa,Hamamelidaceae,40.8,21.6,Clean,Live
6,1375,27.089892,90.318006,25,18.18,1953.34,923.2,2086.13,270,70,Warm broad leaved forest (500-1500),Syzygium tetragonum,Myrtaceae,16.8,13.4,Clean,Live
6,1375,27.089892,90.318006,25,18.18,1953.34,923.2,2086.13,270,70,Warm broad leaved forest (500-1500),Ficus hispida,Moraceae,15.6,7.8,Buttressed ,Live
6,1375,27.089892,90.318006,25,18.18,1953.34,923.2,2086.13,270,70,Warm broad leaved forest (500-1500),Syzygium tetragonum,Myrtaceae,23.2,14.5,Clean,Live
6,1375,27.089892,90.318006,25,18.18,1953.34,923.2,2086.13,270,70,Warm broad leaved forest (500-1500),Syzygium tetragonum,Myrtaceae,43.5,22.8,Clean,Live
6,1375,27.089892,90.318006,25,18.18,1953.34,923.2,2086.13,270,70,Warm broad leaved forest (500-1500),Syzygium tetragonum,Myrtaceae,44.2,23.5,Twisted,Live
7,1463,27.10107,90.313877,4,17.72,2276.46,914.56,2525.24,135,40,Warm broad leaved forest (500-1500),Alnus nepalensis,Betulaceae,32,18,Clean,Live
7,1463,27.10107,90.313877,4,17.72,2276.46,914.56,2525.24,135,40,Warm broad leaved forest (500-1500),Syzygium cumini,Myrtaceae,32,23,Clean,Live
7,1463,27.10107,90.313877,4,17.72,2276.46,914.56,2525.24,135,40,Warm broad leaved forest (500-1500),Altingia excelsa,Hamamelidaceae,72,35.2,Clean,Live
7,1463,27.10107,90.313877,4,17.72,2276.46,914.56,2525.24,135,40,Warm broad leaved forest (500-1500),Cinmomum bejolghota,Lauraceae,17,12,Clean,Live
7,1463,27.10107,90.313877,4,17.72,2276.46,914.56,2525.24,135,40,Warm broad leaved forest (500-1500),Syzygium cumini,Myrtaceae,33,21,Clean,Live
8,1458,27.098571,90.32018,10,17.74,2176.31,914.66,2395.71,135,20,Warm broad leaved forest (500-1500),Brassaiopsis hainla,Araliaceae,14.3,12.4,Twisted,Live
8,1458,27.098571,90.32018,10,17.74,2176.31,914.66,2395.71,135,20,Warm broad leaved forest (500-1500),Dillenia indica,Dilleniaceae,22.3,18.3,Clean,Live
8,1458,27.098571,90.32018,10,17.74,2176.31,914.66,2395.71,135,20,Warm broad leaved forest (500-1500),Duabanga grandiflora,Lythraceae,35.2,22.7,Clean,Live
8,1458,27.098571,90.32018,10,17.74,2176.31,914.66,2395.71,135,20,Warm broad leaved forest (500-1500),Michelia doltsapa,Magnoliaceae,38.5,28.6,Clean,Live
8,1458,27.098571,90.32018,10,17.74,2176.31,914.66,2395.71,135,20,Warm broad leaved forest (500-1500),Delonix regia,Fabaceae,20.1,17.3,Clean,Live
8,1458,27.098571,90.32018,10,17.74,2176.31,914.66,2395.71,135,20,Warm broad leaved forest (500-1500),Too ciliata,Meliaceae,23.5,23.7,Clean,Live
8,1458,27.098571,90.32018,10,17.74,2176.31,914.66,2395.71,135,20,Warm broad leaved forest (500-1500),Cinmomum glaucescens,Lauraceae,12.3,13.2,Clean,Live
8,1458,27.098571,90.32018,10,17.74,2176.31,914.66,2395.71,135,20,Warm broad leaved forest (500-1500),Altingia excelsa,Hamamelidaceae,78,33.8,Clean,Live
8,1458,27.098571,90.32018,10,17.74,2176.31,914.66,2395.71,135,20,Warm broad leaved forest (500-1500),Betula alnoides,Betulaceae,19.3,10.5,Clean,Live
9,1416,27.093329,90.315248,12,17.96,2170.43,918.8,2369.28,90,40,Warm broad leaved forest (500-1500),Ostodes paniculata,Euphorbiaceae,18,15.2,Clean,Live
9,1416,27.093329,90.315248,12,17.96,2170.43,918.8,2369.28,90,40,Warm broad leaved forest (500-1500),Ostodes paniculata,Euphorbiaceae,20.5,15.9,Clean,Live
9,1416,27.093329,90.315248,12,17.96,2170.43,918.8,2369.28,90,40,Warm broad leaved forest (500-1500),Macaranga denticulata,Euphorbiaceae,13.4,13.5,Clean,Live
9,1416,27.093329,90.315248,12,17.96,2170.43,918.8,2369.28,90,40,Warm broad leaved forest (500-1500),Schima wallichii,Theaceae,23.4,20.1,Clean,Live
9,1416,27.093329,90.315248,12,17.96,2170.43,918.8,2369.28,90,40,Warm broad leaved forest (500-1500),Cinmomum bejolghota,Lauraceae,12.5,7.5,Clean,Live
10,1568,27.079149,90.351268,17,17.1,2153.11,896.81,2288.12,225,50,Cool broadleaved forest (1500-3000),Castanopsis hystrix,Fagaceae,32,22,Clean,Live
10,1568,27.079149,90.351268,17,17.1,2153.11,896.81,2288.12,225,50,Cool broadleaved forest (1500-3000),Too ciliata,Meliaceae,33.2,23.4,Clean,Live
10,1568,27.079149,90.351268,17,17.1,2153.11,896.81,2288.12,225,50,Cool broadleaved forest (1500-3000),Rhus succedanea,Acardiaceae,14,12.4,Twisted,Live
10,1568,27.079149,90.351268,17,17.1,2153.11,896.81,2288.12,225,50,Cool broadleaved forest (1500-3000),Carallia brachiata,Rhizophoraceae,48.2,21.2,Clean,Live
10,1568,27.079149,90.351268,17,17.1,2153.11,896.81,2288.12,225,50,Cool broadleaved forest (1500-3000),Cinmomum bejolghota,Lauraceae,55.2,19,Twisted,Live
10,1568,27.079149,90.351268,17,17.1,2153.11,896.81,2288.12,225,50,Cool broadleaved forest (1500-3000),Altingia excelsa,Hamamelidaceae,32,22.4,Clean,Live
10,1568,27.079149,90.351268,17,17.1,2153.11,896.81,2288.12,225,50,Cool broadleaved forest (1500-3000),Engelhardia spicata,Juglandaceae,36.3,25,Clean,Live
10,1568,27.079149,90.351268,17,17.1,2153.11,896.81,2288.12,225,50,Cool broadleaved forest (1500-3000),Engelhardia spicata,Juglandaceae,32,28,Clean,Live
10,1568,27.079149,90.351268,17,17.1,2153.11,896.81,2288.12,225,50,Cool broadleaved forest (1500-3000),Cinmomum bejolghota,Lauraceae,45,19.6,Clean,Live
11,1566,27.075981,90.353133,9,17.1,2323.44,896.39,2478.44,225,30,Cool broadleaved forest (1500-3000),Engelhardia spicata,Juglandaceae,35.6,27.5,Clean,Live
11,1566,27.075981,90.353133,9,17.1,2323.44,896.39,2478.44,225,30,Cool broadleaved forest (1500-3000),Altingia excelsa,Hamamelidaceae,23.5,24.2,Clean,Live
11,1566,27.075981,90.353133,9,17.1,2323.44,896.39,2478.44,225,30,Cool broadleaved forest (1500-3000),Castanopsis hystrix,Fagaceae,45.3,22.3,Clean,Live
11,1566,27.075981,90.353133,9,17.1,2323.44,896.39,2478.44,225,30,Cool broadleaved forest (1500-3000),Eurya cerasifolia,Theaceae,17,13.1,Clean,Live
11,1566,27.075981,90.353133,9,17.1,2323.44,896.39,2478.44,225,30,Cool broadleaved forest (1500-3000),Schima wallichii,Theaceae,24.3,20.8,Clean,Morbid
11,1566,27.075981,90.353133,9,17.1,2323.44,896.39,2478.44,225,30,Cool broadleaved forest (1500-3000),Betula alnoides,Betulaceae,54.5,35.6,Clean,Live
11,1566,27.075981,90.353133,9,17.1,2323.44,896.39,2478.44,225,30,Cool broadleaved forest (1500-3000),Altingia excelsa,Hamamelidaceae,33.3,37.9,Clean,Live
11,1566,27.075981,90.353133,9,17.1,2323.44,896.39,2478.44,225,30,Cool broadleaved forest (1500-3000),Macaranga indica,Euphorbiaceae,14.6,16.5,Clean,Live
11,1566,27.075981,90.353133,9,17.1,2323.44,896.39,2478.44,225,30,Cool broadleaved forest (1500-3000),Castanopsis hystrix,Fagaceae,46.2,22.4,Clean,Live
11,1566,27.075981,90.353133,9,17.1,2323.44,896.39,2478.44,225,30,Cool broadleaved forest (1500-3000),Castanopsis hystrix,Fagaceae,39.8,35.5,Clean,Live
11,1566,27.075981,90.353133,9,17.1,2323.44,896.39,2478.44,225,30,Cool broadleaved forest (1500-3000),Alnus nepalensis,Betulaceae,37.6,34.6,Clean,Live
11,1566,27.075981,90.353133,9,17.1,2323.44,896.39,2478.44,225,30,Cool broadleaved forest (1500-3000),Altingia excelsa,Hamamelidaceae,29.8,36.7,Clean,Live
11,1566,27.075981,90.353133,9,17.1,2323.44,896.39,2478.44,225,30,Cool broadleaved forest (1500-3000),Macaranga indica,Euphorbiaceae,21,23.1,Clean,Live
12,1532,27.08004,90.347693,5,17.3,2376.83,901.5,2558.1,180,30,Cool broadleaved forest (1500-3000),Rhus succedanea,Acardiaceae,32,19,Clean,Live
12,1532,27.08004,90.347693,5,17.3,2376.83,901.5,2558.1,180,30,Cool broadleaved forest (1500-3000),Too ciliata,Meliaceae,21.2,18.5,Clean,Live
12,1532,27.08004,90.347693,5,17.3,2376.83,901.5,2558.1,180,30,Cool broadleaved forest (1500-3000),Persea fructifera,Lauraceae,17,15.2,Clean,Live
12,1532,27.08004,90.347693,5,17.3,2376.83,901.5,2558.1,180,30,Cool broadleaved forest (1500-3000),Persea fructifera,Lauraceae,29.3,19.2,Clean,Live
12,1532,27.08004,90.347693,5,17.3,2376.83,901.5,2558.1,180,30,Cool broadleaved forest (1500-3000),Persea fructifera,Lauraceae,19.3,18.5,Clean,Live
13,1585,27.076638,90.346793,25,17,2022.71,894.15,2116.44,45,60,Cool broadleaved forest (1500-3000),Engelhardia spicata,Juglandaceae,16.1,13.4,Clean,Live
13,1585,27.076638,90.346793,25,17,2022.71,894.15,2116.44,45,60,Cool broadleaved forest (1500-3000),Nyssa javanica,Nyssaceae,44,29,Clean,Live
13,1585,27.076638,90.346793,25,17,2022.71,894.15,2116.44,45,60,Cool broadleaved forest (1500-3000),Engelhardia spicata,Juglandaceae,41.1,14,Clean,Live
13,1585,27.076638,90.346793,25,17,2022.71,894.15,2116.44,45,60,Cool broadleaved forest (1500-3000),Engelhardia spicata,Juglandaceae,15.3,14.8,Clean,Live
13,1585,27.076638,90.346793,25,17,2022.71,894.15,2116.44,45,60,Cool broadleaved forest (1500-3000),Prunus cerasoides,Malvaceae,22,16,Clean,Live
13,1585,27.076638,90.346793,25,17,2022.71,894.15,2116.44,45,60,Cool broadleaved forest (1500-3000),Engelhardia spicata,Juglandaceae,15,13.5,Clean,Live
13,1585,27.076638,90.346793,25,17,2022.71,894.15,2116.44,45,60,Cool broadleaved forest (1500-3000),Rhus succedanea,Acardiaceae,28,17,Clean,Live
13,1585,27.076638,90.346793,25,17,2022.71,894.15,2116.44,45,60,Cool broadleaved forest (1500-3000),Engelhardia spicata,Juglandaceae,37,4,Clean,Live
13,1585,27.076638,90.346793,25,17,2022.71,894.15,2116.44,45,60,Cool broadleaved forest (1500-3000),Engelhardia spicata,Juglandaceae,14.6,6.5,Clean,Live
13,1585,27.076638,90.346793,25,17,2022.71,894.15,2116.44,45,60,Cool broadleaved forest (1500-3000),Celtis austrils,Canbaceae,42,15.7,Clean,Live
13,1585,27.076638,90.346793,25,17,2022.71,894.15,2116.44,45,60,Cool broadleaved forest (1500-3000),Engelhardia spicata,Juglandaceae,36.2,14.5,Clean,Live
13,1585,27.076638,90.346793,25,17,2022.71,894.15,2116.44,45,60,Cool broadleaved forest (1500-3000),Cedrela odorata,Meliaceae,22,16,Clean,Live
13,1585,27.076638,90.346793,25,17,2022.71,894.15,2116.44,45,60,Cool broadleaved forest (1500-3000),Engelhardia spicata,Juglandaceae,42,15.8,Clean,Live
14,1669,27.074814,90.343486,14,16.54,2237.37,883.27,2370.68,45,20,Cool broadleaved forest (1500-3000),Acer oblongum,Aceraceae,19.2,13.4,Clean,Live
14,1669,27.074814,90.343486,14,16.54,2237.37,883.27,2370.68,45,20,Cool broadleaved forest (1500-3000),Engelhardia spicata,Juglandaceae,32.6,18,Twisted,Live
14,1669,27.074814,90.343486,14,16.54,2237.37,883.27,2370.68,45,20,Cool broadleaved forest (1500-3000),Engelhardia spicata,Juglandaceae,19.5,17,Clean,Live
14,1669,27.074814,90.343486,14,16.54,2237.37,883.27,2370.68,45,20,Cool broadleaved forest (1500-3000),Engelhardia spicata,Juglandaceae,37.5,26,Clean,Live
14,1669,27.074814,90.343486,14,16.54,2237.37,883.27,2370.68,45,20,Cool broadleaved forest (1500-3000),Acer oblongum,Aceraceae,36.7,25.4,Clean,Live
14,1669,27.074814,90.343486,14,16.54,2237.37,883.27,2370.68,45,20,Cool broadleaved forest (1500-3000),Engelhardia spicata,Juglandaceae,57.2,32,Clean,Live
14,1669,27.074814,90.343486,14,16.54,2237.37,883.27,2370.68,45,20,Cool broadleaved forest (1500-3000),Macaranga denticulata,Euphorbiaceae,35.4,26.8,Clean,Live
15,1669,27.074814,90.343486,14,16.54,2237.37,883.27,2370.68,45,21,Cool broadleaved forest (1500-3000),Lithocarpus fenestratus,Fagaceae,54,28.5,Clean,Live
15,1669,27.074814,90.343486,14,16.54,2237.37,883.27,2370.68,45,22,Cool broadleaved forest (1500-3000),Macaranga denticulata,Euphorbiaceae,62,32,Clean,Live
15,1669,27.074814,90.343486,14,16.54,2237.37,883.27,2370.68,45,23,Cool broadleaved forest (1500-3000),Castanopsis hystrix,Fagaceae,32,22.3,Clean,Live
15,1669,27.074814,90.343486,14,16.54,2237.37,883.27,2370.68,45,24,Cool broadleaved forest (1500-3000),Celtis austrils,Canbaceae,32,15,Clean,Dead
15,1669,27.074814,90.343486,14,16.54,2237.37,883.27,2370.68,45,25,Cool broadleaved forest (1500-3000),Engelhardia spicata,Juglandaceae,45,22,Clean,Live
15,1669,27.074814,90.343486,14,16.54,2237.37,883.27,2370.68,45,26,Cool broadleaved forest (1500-3000),Engelhardia spicata,Juglandaceae,19,12,Twisted,Live
15,1669,27.074814,90.343486,14,16.54,2237.37,883.27,2370.68,45,27,Cool broadleaved forest (1500-3000),Albiza procera,Leguminosae,33,12,Clean,Dead
15,1669,27.074814,90.343486,14,16.54,2237.37,883.27,2370.68,45,28,Cool broadleaved forest (1500-3000),Castanopsis hystrix,Fagaceae,32,19,Clean,Dead
15,1669,27.074814,90.343486,14,16.54,2237.37,883.27,2370.68,45,29,Cool broadleaved forest (1500-3000),Castanopsis hystrix,Fagaceae,23.4,18,Clean,Live
16,1672,27.085553,90.374162,13,16.54,2184.37,885.16,2349.66,180,50,Cool broadleaved forest (1500-3000),Albiza procera,Leguminosae,43.5,22.3,Clean,Live
16,1672,27.085553,90.374162,13,16.54,2184.37,885.16,2349.66,180,50,Cool broadleaved forest (1500-3000),Macaranga denticulata,Euphorbiaceae,62.7,25.7,Clean,Live
16,1672,27.085553,90.374162,13,16.54,2184.37,885.16,2349.66,180,50,Cool broadleaved forest (1500-3000),Pinus roxburghii,Apocyceae,37.6,22.3,Clean,Live
16,1672,27.085553,90.374162,13,16.54,2184.37,885.16,2349.66,180,50,Cool broadleaved forest (1500-3000),Lithocarpus fenestratus,Fagaceae,21.1,15.3,Clean,Live
16,1672,27.085553,90.374162,13,16.54,2184.37,885.16,2349.66,180,50,Cool broadleaved forest (1500-3000),Lithocarpus fenestratus,Fagaceae,35,14.2,Twisted,Live
16,1672,27.085553,90.374162,13,16.54,2184.37,885.16,2349.66,180,50,Cool broadleaved forest (1500-3000),Engelhardia spicata,Juglandaceae,27.6,15.8,Clean,Live
16,1672,27.085553,90.374162,13,16.54,2184.37,885.16,2349.66,180,50,Cool broadleaved forest (1500-3000),Albizia lucidior,Leguminosae,55.1,18.4,Clean,Dead
16,1672,27.085553,90.374162,13,16.54,2184.37,885.16,2349.66,180,50,Cool broadleaved forest (1500-3000),Macaranga denticulata,Euphorbiaceae,44.6,17.9,Clean,Dead
