"Package","Version"
"listviewer","4.0.0"
"litedown","0.7"
"literanger","0.2.0"
"lme4","1.1-37"
"lmtest","0.9-40"
"lobstr","1.1.2"
"logger","0.4.0"
"loo","2.8.0"
"lpSolve","5.6.23"
"lubridate","1.9.4"
"lwgeom","0.2-14"
"magic","1.6-1"
"magick","2.8.7"
"magrittr","2.0.3"
"maps","3.4.3"
"maptiles","0.10.0"
"maptools","1.1-6"
"mapview","2.11.2"
"markdown","2.0"
"MatrixModels","0.5-4"
"matrixStats","1.5.0"
"maxnet","0.1.4"
"mclust","6.1.1"
"mda","0.5-5"
"memoise","2.0.1"
"memuse","4.2-3"
"mi","1.2"
"mice","3.18.0"
"miceadds","3.17-44"
"microbenchmark","1.5.0"
"mime","0.13"
"miniUI","0.1.2"
"minpack.lm","1.2-4"
"minqa","1.2.8"
"mitml","0.4-5"
"mitools","2.4"
"mnormt","2.1.1"
"ModelMetrics","1.2.2.2"
"modelr","0.1.11"
"modeltools","0.2-24"
"move","4.2.6"
"moveVis","0.10.6"
"multcomp","1.4-28"
"multcompView","0.1-10"
"multicool","1.0.1"
"mvtnorm","1.3-3"
"nabor","0.5.0"
"NbClust","3.0.1"
"nleqslv","3.3.5"
"nloptr","2.2.1"
"nortest","1.0-4"
"numDeriv","2016.8-1.1"
"nycflights13","1.0.2"
"oai","0.4.0"
"officer","0.7.0"
"openssl","2.3.3"
"ordinal","2023.12-4.1"
"overlap","0.3.9"
"pacman","0.5.1"
"palmerpenguins","0.1.1"
"pan","1.9"
"parallelly","1.45.0"
"parameters","0.28.0"
"patchwork","1.3.1"
"pbapply","1.7-2"
"pbkrtest","0.5.5"
"performance","0.15.0"
"permute","0.9-8"
"pheatmap","1.0.13"
"phylobase","0.8.12"
"picante","1.8.2"
"pillar","1.10.2"
"pingr","2.0.5"
"pixmap","0.4-13"
"pkgbuild","1.4.8"
"pkgconfig","2.0.3"
"pkgload","1.4.0"
"plotly","4.11.0"
"plotlyGeoAssets","0.0.2"
"plotmo","3.6.4"
"plotrix","3.8-4"
"plyr","1.8.9"
"png","0.1-8"
"poibin","1.6"
"polspline","1.1.25"
"polyclip","1.10-7"
"polynom","1.4-1"
"posterior","1.6.1"
"prabclus","2.3-4"
"pracma","2.4.4"
"praise","1.0.0"
"predicts","0.1-19"
"PresenceAbsence","1.1.11"
"prettydoc","0.4.1"
"prettyunits","1.2.0"
"pROC","1.18.5"
"processx","3.8.6"
"prodlim","2025.04.28"
"progress","1.2.3"
"progressr","0.15.1"
"promises","1.3.3"
"proxy","0.4-27"
"ps","1.9.1"
"psych","2.5.6"
"purrr","1.0.4"
"qap","0.1-2"
"quadprog","1.5-8"
"quantmod","0.4.28"
"quantreg","6.1"
"QuickJSR","1.8.0"
"R.cache","0.17.0"
"R.methodsS3","1.8.2"
"R.oo","1.27.1"
"R.utils","2.13.0"
"R6","2.6.1"
"ragg","1.4.0"
"randomForest","4.7-1.2"
"rangeModelMetadata","0.1.5"
"ranger","0.17.0"
"rapidjsonr","1.2.0"
"rappdirs","0.3.3"
"raster","3.6-32"
"rasterVis","0.51.6"
"rbibutils","2.3"
"rcdd","1.6"
"Rcereal","1.3.2"
"Rcmdr","2.9-5"
"RcmdrMisc","2.9-2"
"RColorBrewer","1.1-3"
"Rcpp","1.0.14"
"RcppArmadillo","14.6.0-1"
"RcppEigen","0.3.4.0.2"
"RcppParallel","5.1.10"
"RcppProgress","0.4.2"
"RcppTOML","0.2.3"
"rcrossref","1.2.0"
"Rdpack","2.6.4"
"reactable","0.4.4"
"reactR","0.6.1"
"readr","2.1.5"
"readstata13","0.11.0"
"readxl","1.4.5"
"rebird","1.3.0"
"recipes","1.3.1"
"RefManageR","1.4.0"
"reformulas","0.4.1"
"registry","0.5-1"
"relimp","1.0-5"
"rematch","2.0.0"
"rematch2","2.1.2"
"remotes","2.5.0"
"renv","1.1.7"
"repr","1.1.7"
"reprex","2.1.1"
"reshape","0.8.10"
"reshape2","1.4.4"
"reticulate","1.43.0"
"rex","1.2.1"
"Rfast","2.1.5.1"
"rgbif","3.8.2"
"rgl","1.3.24"
"ridigbio","0.4.1"
"rJava","1.0-11"
"rlang","1.1.6"
"rmarkdown","2.29"
"rms","8.0-0"
"rnaturalearth","1.0.1"
"rnaturalearthdata","1.0.0"
"rncl","0.8.8"
"RNeXML","2.4.11"
"robustbase","0.99-4-1"
"ROCR","1.0-11"
"rosm","0.3.0"
"roxygen2","7.3.2"
"rprojroot","2.0.4"
"rstan","2.32.7"
"rstanarm","2.32.2"
"rstantools","2.5.0"
"rstatix","0.7.2"
"rstudioapi","0.17.1"
"rsvg","2.6.2"
"Rttf2pt1","1.3.12"
"rversions","2.1.2"
"rvertnet","0.8.4"
"rvest","1.0.4"
"s2","1.1.9"
"S7","0.2.0"
"sandwich","3.1-1"
"sass","0.4.10"
"satellite","1.0.5"
"scales","1.4.0"
"scatterplot3d","0.3-44"
"segmented","2.1-4"
"selectr","0.4-2"
"sem","3.1-16"
"seqinr","4.2-36"
"seriation","1.5.7"
"servr","0.32"
"sf","1.0-21"
"sfheaders","0.4.4"
"sftime","0.3.1"
"sgeostat","1.0-27"
"shape","1.4.6.1"
"shiny","1.11.1"
"shinyjs","2.1.0"
"shinystan","2.6.0"
"shinytest2","0.4.1"
"shinythemes","1.2.0"
"showtext","0.9-7"
"showtextdb","3.0"
"slippymath","0.3.1"
"snakecase","0.11.1"
"snow","0.4-4"
"snowfall","1.84-6.3"
"sourcetools","0.1.7-1"
"sp","2.2-0"
"spacesXYZ","1.6-0"
"spacetime","1.3-3"
"spam","2.11-1"
"SparseM","1.84-2"
"sparsevctrs","0.3.4"
"spatstat","3.4-0"
"spatstat.data","3.1-6"
"spatstat.explore","3.5-2"
"spatstat.geom","3.5-0"
"spatstat.linnet","3.3-1"
"spatstat.model","3.4-0"
"spatstat.random","3.4-1"
"spatstat.sparse","3.1-0"
"spatstat.univar","3.1-4"
"spatstat.utils","3.1-5"
"spData","2.3.4"
"spdep","1.3-13"
"spelling","2.3.2"
"splancs","2.01-45"
"spocc","1.2.3"
"spThin","0.2.0"
"SQUAREM","2021.1"
"StanHeaders","2.32.10"
"stars","0.6-8"
"stringdist","0.9.15"
"stringi","1.8.7"
"stringr","1.5.1"
"styler","1.10.3"
"suntools","1.1.0"
"survey","4.4-8"
"svglite","2.2.1"
"svUnit","1.0.8"
"sys","3.4.3"
"sysfonts","0.8.9"
"systemfonts","1.2.3"
"tcltk2","1.6.1"
"tensor","1.5.1"
"tensorA","0.36.2.1"
"terra","1.8-60"
"testthat","3.2.3"
"textshaping","1.0.1"
"TH.data","1.1-3"
"threejs","0.3.4"
"tibble","3.3.0"
"tictoc","1.2.1"
"tidybayes","3.0.7"
"tidyr","1.3.1"
"tidyselect","1.2.1"
"tidyterra","0.7.2"
"tidyverse","2.0.0"
"timechange","0.3.0"
"timeDate","4041.110"
"tinytest","1.4.1"
"tinytex","0.57"
"tmap","4.1"
"tmaptools","3.2"
"TMB","1.9.18"
"triebeard","0.4.1"
"tseries","0.10-58"
"TSP","1.2-5"
"TTR","0.24.4"
"tzdb","0.5.0"
"ucminf","1.2.2"
"units","0.8-7"
"unmarked","1.5.1"
"urca","1.3-4"
"urltools","1.7.3.1"
"utf8","1.2.6"
"uuid","1.2-1"
"vcd","1.4-13"
"vctrs","0.6.5"
"vegan","2.7-1"
"VIM","6.2.2"
"viridis","0.6.5"
"viridisLite","0.4.2"
"vroom","1.6.5"
"waldo","0.6.2"
"webshot","0.5.5"
"websocket","1.4.4"
"whisker","0.4.1"
"withr","3.0.2"
"wk","0.9.4"
"writexl","1.5.4"
"xfun","0.52"
"xgboost","1.7.11.1"
"XML","3.99-0.18"
"xml2","1.3.8"
"xmlparsedata","1.0.5"
"xtable","1.8-4"
"xts","0.14.1"
"yaml","2.3.10"
"yulab.utils","0.2.0"
"zigg","0.0.2"
"zip","2.3.3"
"zoo","1.8-14"
"base","4.4.0"
"boot","1.3-30"
"class","7.3-22"
"cluster","2.1.6"
"codetools","0.2-20"
"compiler","4.4.0"
"datasets","4.4.0"
"foreign","0.8-86"
"graphics","4.4.0"
"grDevices","4.4.0"
"grid","4.4.0"
"KernSmooth","2.23-22"
"lattice","0.22-6"
"MASS","7.3-60.2"
"Matrix","1.7-0"
"methods","4.4.0"
"mgcv","1.9-1"
"nlme","3.1-164"
"nnet","7.3-19"
"parallel","4.4.0"
"rpart","4.1.23"
"spatial","7.3-17"
"splines","4.4.0"
"stats","4.4.0"
"stats4","4.4.0"
"survival","3.5-8"
"tcltk","4.4.0"
"tools","4.4.0"
"translations","4.4.0"
"utils","4.4.0"
