variable,NMDS1,NMDS2,r2,p_value,significant
elevation,-0.1350116478400938,-0.08358381675170219,0.02521439947527964,0.072,FALSE
latitude,-0.11655046316318252,-0.049697036287059806,0.016053805879269703,0.192,FALSE
longitude,0.021468910837491865,-0.00989157539447736,5.587573963328057e-4,0.946,FALSE
slope,0.02256878655216583,-0.003858524230030649,5.242383356709549e-4,0.955,FALSE
temperature,0.13410032130344093,0.08451737012181004,0.025126082025993125,0.072,FALSE
precipitation,0.09437461936777375,0.053369244910454514,0.011754845083124252,0.29,FALSE
eto,0.127003245778274,0.0871079817973705,0.023717624931027703,0.086,FALSE
water_balance,0.06291739874817945,0.03886886848728034,0.005469388002718908,0.552,FALSE
aspect,-0.022353893742017007,0.08525817924515798,0.007768653693628873,0.46,FALSE
