stratum,sites,richness,sd
trees,194,213.13,3.7326162731285737
trees,195,213.49,3.68314479155457
trees,196,213.78,3.6943309012703245
trees,197,214.2,3.4670162993851097
trees,198,214.54,3.447792442603343
trees,199,214.96,3.4286964864157334
trees,200,215.37,3.4689240901804617
trees,201,215.67,3.487510182454995
trees,202,215.95,3.38855769204587
trees,203,216.24,3.3427745084198266
trees,204,216.58,3.2041009076280083
trees,205,216.98,2.947280890323256
trees,206,217.27,2.78834152944873
trees,207,217.54,2.6339661686851215
trees,208,217.89,2.5061338892220166
trees,209,218.16,2.4483348288874693
trees,210,218.46,2.3716337121584488
trees,211,218.87,2.2547592762730555
trees,212,219.21,2.1191526799190474
trees,213,219.48,1.992308442308301
trees,214,219.85,1.8167292177165673
trees,215,220.18,1.7602800511810213
trees,216,220.55,1.5266984249707212
trees,217,220.86,1.3410383433682418
trees,218,221.14,1.0919355440332694
trees,219,221.37,1.0313764461812058
trees,220,221.73,0.6794977348874474
trees,221,222,0
shrubs,1,4.39,3.2032023118287505
shrubs,2,9.04,3.9489673883616
shrubs,3,13.26,4.988107067937909
shrubs,4,16.63,5.20228193908571
shrubs,5,19.94,5.308312520771721
shrubs,6,23.14,5.061281029202553
shrubs,7,25.67,5.065340735594869
shrubs,8,28,5.202951765172061
shrubs,9,30.44,5.228747266774135
shrubs,10,32.71,4.932463068203544
shrubs,11,34.57,4.830992118445739
shrubs,12,36.34,5.2266218303580905
shrubs,13,38.41,4.997160810061666
shrubs,14,39.95,4.708417135215605
shrubs,15,41.66,4.826735308401916
shrubs,16,43.25,4.858346977474474
shrubs,17,44.83,4.5926049473060715
shrubs,18,46.56,4.608555942894464
shrubs,19,47.85,4.763868642652151
shrubs,20,49.18,4.953072712259461
shrubs,21,50.37,4.927053742944011
shrubs,22,51.55,4.7850250413623385
shrubs,23,52.63,4.914737680145957
shrubs,24,53.9,4.953317427275738
shrubs,25,54.91,4.934101086860051
shrubs,26,56.04,4.894688937816151
shrubs,27,57,4.907219995150827
shrubs,28,58.09,4.899175358355648
shrubs,29,58.93,4.830992118445739
shrubs,30,59.91,4.623381507690725
shrubs,31,60.79,4.470543319973264
shrubs,32,61.39,4.512373560723353
shrubs,33,61.98,4.412974442974198
shrubs,34,62.61,4.405907420954303
shrubs,35,63.34,4.479402918364288
shrubs,36,64,4.508129581459735
shrubs,37,64.54,4.427690644618755
shrubs,38,65.29,4.548937049776385
shrubs,39,65.89,4.579036553422101
shrubs,40,66.49,4.5137164691234615
shrubs,41,67.05,4.475240527365851
shrubs,42,67.55,4.454880424428875
shrubs,43,68.11,4.424210253100135
shrubs,44,68.62,4.423947686321927
shrubs,45,69.31,4.370920897814269
shrubs,46,69.66,4.358250042659718
shrubs,47,70.16,4.4329345913186105
shrubs,48,70.68,4.4173212779610305
shrubs,49,71.22,4.361400942566297
shrubs,50,71.67,4.294828932047882
shrubs,51,72.1,4.305270436959046
shrubs,52,72.59,4.173255396696997
shrubs,53,73,4.1046905910780715
shrubs,54,73.29,3.9550377030217083
shrubs,55,73.71,3.8932601695076516
shrubs,56,74.12,3.890625874710867
shrubs,57,74.44,3.8699046003954174
shrubs,58,74.78,3.8180327051210203
shrubs,59,75.16,3.8157568056677826
shrubs,60,75.47,3.721233096377565
shrubs,61,75.88,3.81723894082007
shrubs,62,76.31,3.8262648928560905
shrubs,63,76.6,3.722712164348173
shrubs,64,76.97,3.7455832575707
shrubs,65,77.36,3.6195875650982865
shrubs,66,77.75,3.5714213564140684
shrubs,67,78.01,3.696831840450098
shrubs,68,78.27,3.653848116794958
shrubs,69,78.59,3.610016928245936
shrubs,70,78.92,3.675416557165578
shrubs,71,79.38,3.6203130619694575
shrubs,72,79.68,3.564357791334431
shrubs,73,80.01,3.4916784190154426
shrubs,74,80.34,3.5624869306866422
shrubs,75,80.68,3.5014571281399434
shrubs,76,80.94,3.5839710496666246
shrubs,77,81.23,3.510028921576435
shrubs,78,81.56,3.479579679713449
shrubs,79,81.82,3.4476752524657317
shrubs,80,82.12,3.3852920140221316
shrubs,81,82.42,3.382008249247745
shrubs,82,82.77,3.3720628820957774
shrubs,83,82.97,3.3798422053896737
shrubs,84,83.29,3.3583756294802503
shrubs,85,83.52,3.3858887200028334
shrubs,86,83.74,3.2956046639440997
shrubs,87,83.93,3.3371341966520687
shrubs,88,84.22,3.3229535359406097
shrubs,89,84.45,3.2235716435987802
shrubs,90,84.73,3.199921084885524
shrubs,91,84.98,3.2129158536799998
shrubs,92,85.24,3.2384058929159463
shrubs,93,85.45,3.176221629292238
shrubs,94,85.63,3.1419449679805314
shrubs,95,85.89,3.155546663808784
shrubs,96,86.1,3.046773421642686
shrubs,97,86.27,3.0011950481719305
shrubs,98,86.44,2.985892756874492
shrubs,99,86.69,2.973604417592097
shrubs,100,86.9,2.9422042173455014
shrubs,101,87.2,3.0451153135353137
shrubs,102,87.45,3.085891649544305
shrubs,103,87.66,3.0853842482899854
shrubs,104,87.87,3.119359556127514
shrubs,105,88.08,3.0240784555051654
shrubs,106,88.32,3.018060116811272
shrubs,107,88.53,3.059857394181512
shrubs,108,88.71,3.0294680667861096
shrubs,109,88.86,2.9576813195269684
shrubs,110,89.12,2.8719472154064403
shrubs,111,89.32,2.8064859943287863
shrubs,112,89.52,2.805045958319191
shrubs,113,89.71,2.8437242617327856
shrubs,114,89.84,2.8131006653753707
shrubs,115,90.05,2.7866021451135636
shrubs,116,90.19,2.80221773644095
shrubs,117,90.4,2.788866755113585
shrubs,118,90.62,2.7368787058444974
shrubs,119,90.82,2.72430141170506
shrubs,120,90.99,2.724727768813137
shrubs,121,91.16,2.7032341273879235
shrubs,122,91.39,2.5854878601044473
shrubs,123,91.57,2.5396054732174367
shrubs,124,91.69,2.5133783453890715
shrubs,125,91.84,2.4729649321321876
shrubs,126,92,2.4412283710451916
shrubs,127,92.13,2.4148321145400855
shrubs,128,92.34,2.404625172916191
shrubs,129,92.47,2.4636959998745747
shrubs,130,92.65,2.3968624272055115
shrubs,131,92.82,2.337139752394414
shrubs,132,92.94,2.2822105180032906
shrubs,133,93.05,2.297890996175195
shrubs,134,93.14,2.3138581188005873
shrubs,135,93.36,2.316039810547393
shrubs,136,93.47,2.3026335383905994
shrubs,137,93.59,2.3617105596742305
shrubs,138,93.77,2.3391917796149553
shrubs,139,93.93,2.3365994457110038
shrubs,140,94.06,2.2866322110665
shrubs,141,94.17,2.287670068745566
shrubs,142,94.34,2.2795533852848537
shrubs,143,94.44,2.2577364189324087
shrubs,144,94.64,2.2406708952021623
shrubs,145,94.82,2.221929273620044
shrubs,146,94.89,2.264771935359479
shrubs,147,95.04,2.187752871387129
shrubs,148,95.16,2.1020432580196484
shrubs,149,95.32,2.1314385524875687
shrubs,150,95.48,2.171812072157183
shrubs,151,95.65,2.1806078292646998
shrubs,152,95.76,2.127833820503088
shrubs,153,95.86,2.108280931196904
shrubs,154,96.01,2.0864885198424514
shrubs,155,96.22,2.032960720950922
shrubs,156,96.37,2.0824179807292884
shrubs,157,96.48,2.0571628987319386
shrubs,158,96.64,2.022699466384745
shrubs,159,96.73,2.0243717069947427
shrubs,160,96.89,2.0245712852080286
shrubs,161,97.04,1.9945379961740057
shrubs,162,97.17,1.9748673398740002
shrubs,163,97.32,1.8634170849069815
shrubs,164,97.41,1.8317899839923095
shrubs,165,97.5,1.8118576883486968
shrubs,166,97.6,1.786594299755597
shrubs,167,97.68,1.7915627172100255
shrubs,168,97.78,1.7842181322457025
shrubs,169,97.94,1.6806684576817834
shrubs,170,98.1,1.6360830286900714
shrubs,171,98.23,1.6258952467903194
shrubs,172,98.31,1.6372864962208267
shrubs,173,98.36,1.6175801855134282
shrubs,174,98.49,1.5406610151608184
shrubs,175,98.61,1.5563165526721139
shrubs,176,98.69,1.5288141572057499
shrubs,177,98.79,1.4722689148303572
shrubs,178,98.91,1.4501480244889806
shrubs,179,98.99,1.4389600621998029
shrubs,180,99.09,1.4501480244889806
shrubs,181,99.23,1.420307265091863
shrubs,182,99.36,1.3522894914502843
shrubs,183,99.47,1.2827920936595905
shrubs,184,99.6,1.263312944586414
shrubs,185,99.7,1.2018504251546631
shrubs,186,99.88,1.0471703092456626
shrubs,187,100.01,0.9795381306998465
shrubs,188,100.15,0.967919772950572
shrubs,189,100.28,0.9329003324594918
shrubs,190,100.35,0.8918825850158447
shrubs,191,100.44,0.868296835154542
shrubs,192,100.47,0.8698658900466593
shrubs,193,100.57,0.7420283421851626
shrubs,194,100.62,0.6783819132332615
shrubs,195,100.74,0.5434643827828419
shrubs,196,100.83,0.4277023415055065
shrubs,197,100.91,0.28762349126466136
shrubs,198,101,0
herbs,1,1.55,1.0480862791225007
herbs,2,3.36,1.7086825215925747
herbs,3,5,1.9949431018948836
herbs,4,6.7,2.143818927978666
herbs,5,8.37,2.4645158518131676
herbs,6,9.94,2.762739088789832
herbs,7,11.58,2.9376689721442393
herbs,8,13.21,3.322087088903996
herbs,9,14.69,3.46904056249598
herbs,10,16.33,3.4846126402406985
herbs,11,17.9,3.8362966148581
herbs,12,19.55,3.8227786181829
herbs,13,21.06,4.077085510830778
herbs,14,22.67,4.194886256750081
herbs,15,24.18,4.342368203660489
herbs,16,25.46,4.571364537791067
herbs,17,26.66,4.64327470649756
herbs,18,27.98,4.731113435908544
herbs,19,29.39,5.076973169680588
herbs,20,30.83,5.2011168186857875
herbs,21,32.19,5.4600384799028845
herbs,22,33.49,5.305790623593635
herbs,23,34.78,5.3363249185524335
herbs,24,36.27,5.33873779203673
herbs,25,37.38,5.3763041640746545
herbs,26,38.52,5.560466516290506
herbs,27,39.65,5.751372256104001
herbs,28,40.94,5.916626120219584
herbs,29,41.99,6.0226760051181785
herbs,30,43.19,5.950460469407372
herbs,31,44.54,6.090927182243599
herbs,32,45.45,6.205854192826823
herbs,33,46.54,6.280352560392472
herbs,34,47.49,6.21255652576768
herbs,35,48.65,6.079232739998585
herbs,36,49.74,6.186691483753777
herbs,37,50.78,6.283825637815283
herbs,38,51.91,6.385107356935822
herbs,39,53.23,6.428872688147125
herbs,40,54.28,6.418219017261358
herbs,41,55.38,6.408296390325796
herbs,42,56.37,6.481761513912119
herbs,43,57.29,6.612346883908263
herbs,44,58.63,6.661596556897504
herbs,45,59.66,6.7062762703411956
herbs,46,60.56,6.635259351876659
herbs,47,61.31,6.726541729325972
herbs,48,62.21,6.613874305831139
herbs,49,63.21,6.685269499640855
herbs,50,64.02,6.649948735277452
herbs,51,64.89,6.689196778040959
herbs,52,65.72,6.645542289627862
herbs,53,66.7,6.562058065927645
herbs,54,67.6,6.468259722551641
herbs,55,68.39,6.441492706106891
herbs,56,69.17,6.253976512765476
herbs,57,69.88,6.24464214791813
herbs,58,70.62,6.400410340380726
herbs,59,71.51,6.437728126780708
herbs,60,72.27,6.433584545260138
herbs,61,73.08,6.359086396486511
herbs,62,73.97,6.6064783020574245
herbs,63,74.88,6.712388666947231
herbs,64,75.69,6.611430261373866
herbs,65,76.46,6.4564117375871035
herbs,66,77.29,6.4138344792544135
herbs,67,78.14,6.19387119692042
herbs,68,78.73,6.2228886728225685
herbs,69,79.55,6.199340140839038
herbs,70,80.47,6.467408579746121
herbs,71,81.14,6.587438305923133
herbs,72,81.9,6.418879980340822
herbs,73,82.52,6.326918601491487
herbs,74,83.29,6.440551767566741
herbs,75,83.93,6.451458217435275
herbs,76,84.56,6.375964969550044
herbs,77,85.26,6.358991089533597
herbs,78,85.8,6.3277487339814655
herbs,79,86.35,6.383968241231351
herbs,80,87.01,6.251456395969428
herbs,81,87.58,6.28479004093103
herbs,82,88.19,6.296856679360269
herbs,83,88.82,6.270630596742889
herbs,84,89.42,6.208791420968408
herbs,85,90.01,6.166863223730685
herbs,86,90.63,6.261401721272283
herbs,87,91.18,6.280288226030729
herbs,88,91.91,5.976545064591324
herbs,89,92.5,5.995789768620557
herbs,90,93.25,6.050920290636489
herbs,91,93.78,5.997608951183224
herbs,92,94.3,5.751591786697669
herbs,93,94.74,5.8475929607269554
herbs,94,95.3,5.81968099372181
herbs,95,95.68,5.806440172321374
herbs,96,96.18,5.78814532148479
herbs,97,96.68,5.685139231435592
herbs,98,97.3,5.805779078389971
herbs,99,97.99,5.776117671371953
herbs,100,98.7,5.64881323014763
herbs,101,99.28,5.5470075652817465
herbs,102,99.73,5.631539969159628
herbs,103,100.15,5.543901918761594
herbs,104,100.6,5.532274451440439
herbs,105,101.09,5.537922521901679
herbs,106,101.63,5.5115214493702815
herbs,107,102.16,5.526282473760999
herbs,108,102.63,5.458114152434896
herbs,109,103.22,5.509550935888652
herbs,110,103.57,5.497942682256131
herbs,111,103.95,5.574789935798732
herbs,112,104.43,5.401561689629092
herbs,113,104.93,5.503451625841714
herbs,114,105.27,5.462184045366335
herbs,115,105.78,5.3890648726861885
herbs,116,106.25,5.39617335421008
herbs,117,106.57,5.395948723464913
herbs,118,107.13,5.3854555344122295
herbs,119,107.61,5.314160613897837
herbs,120,108.05,5.339721552911374
herbs,121,108.51,5.269494829447673
herbs,122,108.74,5.273566634688999
herbs,123,109.08,5.188721256998519
herbs,124,109.5,5.157127068044726
herbs,125,110.02,5.197085430286572
herbs,126,110.68,5.245257598319387
herbs,127,111.1,5.219427578041891
herbs,128,111.63,5.1003168845898506
herbs,129,112.05,5.164711262427206
herbs,130,112.4,5.140451577852128
herbs,131,112.68,5.012872319228657
herbs,132,113.03,4.983720974078981
herbs,133,113.46,4.831337100826042
herbs,134,113.83,4.85560178421467
herbs,135,114.2,4.898979485566356
herbs,136,114.66,4.946624193234302
herbs,137,114.86,4.948257524144487
herbs,138,115.21,4.932463068203544
herbs,139,115.58,4.862098312457287
herbs,140,116.1,4.6957965299302575
herbs,141,116.41,4.5507131198296715
herbs,142,116.71,4.604115418609615
herbs,143,116.96,4.563624290699955
herbs,144,117.21,4.615071926729733
herbs,145,117.63,4.600516000922883
herbs,146,117.95,4.628360095294787
herbs,147,118.24,4.686365350889771
herbs,148,118.5,4.613331581712752
herbs,149,118.77,4.534614346637128
herbs,150,119.26,4.484811629660197
herbs,151,119.54,4.450445443600522
herbs,152,119.8,4.490168834422172
herbs,153,120.07,4.454608327736048
herbs,154,120.43,4.483989475474003
herbs,155,120.87,4.343007848452173
herbs,156,121.08,4.3244197368671395
herbs,157,121.48,4.152351165547081
herbs,158,121.78,4.101194701522713
herbs,159,122.07,4.124954851298681
herbs,160,122.33,4.117111373354631
herbs,161,122.62,4.0246211942959
herbs,162,122.93,3.998118244243096
herbs,163,123.17,4.131805680549145
herbs,164,123.32,4.175154990167334
herbs,165,123.63,4.093984253842102
herbs,166,123.96,3.9693777340988343
herbs,167,124.22,3.9275766810921193
herbs,168,124.38,3.9152124960069394
herbs,169,124.64,3.8990286280590762
herbs,170,124.99,3.796582727142977
herbs,171,125.34,3.7395510992955323
herbs,172,125.62,3.757228722977572
herbs,173,125.83,3.7391053864405976
herbs,174,126.11,3.651193246215834
herbs,175,126.39,3.572891763761611
herbs,176,126.64,3.4917507402910695
herbs,177,126.8,3.452418271182088
herbs,178,127.14,3.4201423563024007
herbs,179,127.32,3.3691410049315405
herbs,180,127.53,3.391775554800378
herbs,181,127.6,3.3484505688633384
herbs,182,127.87,3.2118939313530617
herbs,183,128.09,3.1401441130153644
herbs,184,128.34,3.0755470893793673
herbs,185,128.54,2.945361016098284
herbs,186,128.72,2.888780106731993
herbs,187,128.97,2.8584625379402966
herbs,188,129.14,2.799783541416707
herbs,189,129.36,2.797979068664894
herbs,190,129.58,2.7124106837224553
herbs,191,129.85,2.6337935923053437
herbs,192,130.1,2.6304356899935644
herbs,193,130.3,2.5761140573281374
herbs,194,130.52,2.492331673697779
herbs,195,130.71,2.396525262402492
herbs,196,130.9,2.354878881270658
herbs,197,131.16,2.241572319744885
herbs,198,131.37,2.204930196563413
herbs,199,131.6,2.1367397047035386
herbs,200,131.85,2.0761999086326104
herbs,201,132.01,2.0175743011364067
herbs,202,132.25,1.855241006424554
herbs,203,132.48,1.7025233797472088
herbs,204,132.72,1.658038271298618
herbs,205,132.97,1.4802061008555873
herbs,206,133.19,1.3461129974932275
herbs,207,133.4,1.1101005505463153
herbs,208,133.58,0.9658826496678015
herbs,209,133.78,0.6753973764841081
herbs,210,134,0
regen,1,1.95,1.1838560518556096
regen,2,3.72,1.4912539635616677
regen,3,5.57,1.970771268803002
regen,4,7.55,2.2934910093787177
regen,5,9.36,2.5957229778575712
regen,6,10.77,2.6241112011421306
regen,7,12.47,2.649394823217734
regen,8,14.12,2.917311617004099
regen,9,15.46,2.9419295530228955
regen,10,16.78,3.1927316444598586
regen,11,18.35,3.3070936918794254
regen,12,19.91,3.4556205132093325
regen,13,21.2,3.6181361349331636
regen,14,22.55,3.5115250363350796
regen,15,23.84,3.6782736398610925
regen,16,25.12,3.7531939260401463
regen,17,26.05,3.9984214056767122
regen,18,27.22,3.922429673742353
regen,19,28.33,3.9081758383980607
regen,20,29.49,4.203161388355872
regen,21,30.67,4.249907901557064
regen,22,31.77,4.247054832171907
regen,23,33.01,4.281732397433581
regen,24,33.88,4.288297441817084
regen,25,35.11,4.355178039710404
regen,26,36.13,4.307979441534845
regen,27,37.05,4.31435236896992
regen,28,38.07,4.180896912134882
regen,29,39.03,3.9323958821229295
regen,30,40.04,3.795052600745376
regen,31,40.85,3.793601737322217
regen,32,41.85,3.7775920928816573
regen,33,42.7,3.8546836262637507
regen,34,43.51,3.8125126262417184
regen,35,44.32,3.8556792691123345
regen,36,45.28,3.903067946364679
regen,37,46.1,3.9759377268866785
regen,38,46.88,3.9009970235540785
regen,39,47.58,3.936824336770166
regen,40,48.34,3.8460789425495716
regen,41,48.98,3.7631385997876987
regen,42,49.65,3.7453675090407055
regen,43,50.29,3.8093319756894517
regen,44,51.12,3.9087573266172253
regen,45,51.76,3.934103673922653
regen,46,52.41,3.9545268779315217
regen,47,53.23,4.087070028044713
regen,48,53.95,4.016066219422668
regen,49,54.86,4.067660087305549
regen,50,55.54,4.023717563435961
regen,51,56.21,4.132392366011082
regen,52,56.89,4.211324319647268
regen,53,57.54,4.219770686478668
regen,54,58.15,4.212475459269703
regen,55,58.82,4.255430280087651
regen,56,59.48,4.243783332086709
regen,57,59.94,4.123889504638146
regen,58,60.62,4.116436627114585
regen,59,61.18,4.173945157979221
regen,60,61.79,4.156763990015174
regen,61,62.28,4.0603527736472165
regen,62,62.77,4.1166206597846315
regen,63,63.39,4.201719224846473
regen,64,63.97,4.274554734918969
regen,65,64.49,4.203161388355872
regen,66,65.03,4.130338602305744
regen,67,65.67,4.102364432786772
regen,68,66.22,4.03164252062871
regen,69,66.77,3.97175634761858
regen,70,67.33,3.9467541964085737
regen,71,67.81,3.933012313556348
regen,72,68.25,3.9167472590032015
regen,73,68.65,3.9244764175001934
regen,74,69.17,4.022801174918951
regen,75,69.71,3.9956921247207666
regen,76,70.22,3.9888227675226524
regen,77,70.6,4.0750534482458765
regen,78,71.11,4.138742794520084
regen,79,71.57,4.078163084210113
regen,80,72,3.9414912831761453
regen,81,72.42,3.947074098543621
regen,82,73.03,3.9066247800009117
regen,83,73.53,3.8545657041587407
regen,84,74.02,3.7631385997876987
regen,85,74.65,3.8227786181829
regen,86,75.08,3.849911451165881
regen,87,75.56,3.9397482358161113
regen,88,76.04,3.925878914654049
regen,89,76.39,3.8267928392249604
regen,90,76.77,3.7868859304849747
regen,91,77.34,3.747645725632091
regen,92,77.69,3.7677391876108657
regen,93,78.09,3.83259544940343
regen,94,78.54,3.7346859021715315
regen,95,78.85,3.7019650801358805
regen,96,79.33,3.6182896791191554
regen,97,79.77,3.510028921576435
regen,98,80.24,3.396730454095199
regen,99,80.58,3.408782477630097
regen,100,80.95,3.430036663820303
regen,101,81.31,3.4132688204130717
regen,102,81.63,3.4543341243174845
regen,103,82,3.533390508399614
regen,104,82.34,3.5196992525332087
regen,105,82.69,3.6032953492237314
regen,106,83.03,3.557478962082076
regen,107,83.39,3.6066577045763295
regen,108,83.84,3.645171151986245
regen,109,84.22,3.602972958740343
regen,110,84.65,3.5544111163227003
regen,111,85.07,3.5908272590087655
regen,112,85.5,3.6417888822152036
regen,113,85.7,3.650100316872445
regen,114,85.99,3.6473180959342293
regen,115,86.37,3.667093639052016
regen,116,86.72,3.6489378556982133
regen,117,87.14,3.6265574849875453
regen,118,87.48,3.6995222186742773
regen,119,87.89,3.544507773095632
regen,120,88.31,3.569497602088161
regen,121,88.67,3.6099050044861487
regen,122,89.07,3.6272119688083664
regen,123,89.31,3.708289921434696
regen,124,89.62,3.648107299502972
regen,125,89.96,3.6374038916110307
regen,126,90.22,3.608575644463918
regen,127,90.49,3.549064466286656
regen,128,90.75,3.596785882822146
regen,129,91.06,3.6260003844289357
regen,130,91.44,3.655133376499413
regen,131,91.67,3.670947913803543
regen,132,91.93,3.715256560875886
regen,133,92.25,3.70741817103891
regen,134,92.42,3.6602699022853162
regen,135,92.66,3.6187502725876977
regen,136,92.98,3.5787814640847753
regen,137,93.24,3.5735278101759627
regen,138,93.5,3.557606731577516
regen,139,93.73,3.6009398324281507
regen,140,94.05,3.5
regen,141,94.3,3.4887988150246168
regen,142,94.56,3.3883937376302833
regen,143,94.87,3.277270976056916
